"Depth","Display Name","Type","Continuous Quantity","Dictionary","Current Expression","Projected Expression","Variant Expression","Maturity State(R)","Current Evolution Expression","Description(R)","Planning Required(R)","Projected Evolution Expression","Bundle","B.I.","Title(R)","Name(R)","Revision(R)","Revision Comment(R)","Number of Manufacturing Assembly(R)","Outsourced(R)","Estimated Time(R)","Estimated Cost(R)","Estimated Cost currency(R)","Lead Time Description(R)","Manufactured Item classification(R)","Spare Manufactured Item(R)","Material Category(R)","Estimated Weight(R)","Target Release date(R)","Creation date(R)","Created From(R)","Last modification(R)","Collaborative Policy(R)","Owner(R)","Organization(R)","Collaborative Space(R)","Is Lot Number Required(R)","Is Serial Number Required(R)","Operation State(R)","Planned Start(R)","Planned End(R)","Actual Start(R)","Actual End(R)","Name","Description","Creation date","Last modification","Owner","Organization","Collaborative Space","Deformed Part","Quantity","Torque code","Nominal fastening torque","Torque maximum lower deviation","Torque maximum upper deviation","Entry hole depth","Entry hole countersunk angle","Entry hole type","Entry hole counterbore diameter","Assembly clearance","Boring code","Nominal drilling diameter","Drilling diameter maximum lower deviation","Drilling diameter maximum upper deviation","Head orientation","Quantity(R)"
"5","Bellcrank Connector A (NAUO333)","Provided Part","1","","","","","In Work","","","","","","112128144","Bellcrank Connector","prvd-R1132101478896-00001849","A","","","","0s","0","","","","False","","0kg","","06/14/2024","","06/14/2024","Engineering Definition","kverma8000","Company Name","Common Space","False","False","","","","","","NAUO333","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"2","Platform Assembly.1 A (Platform Assembly.1)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","Platform Assembly.1","mass-R1132101478896-00000320","A","","","No","0s","0","","","","False","","0kg","","05/01/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","Platform Assembly.1","","05/01/2024","05/02/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"3","Racecar V3 Plattform A (NAUO451)","Provided Part","1","","","","","In Work","","","","","","112128144","Racecar V3 Plattform","prvd-R1132101478896-00001737","A","","","","0s","0","","","","False","","0kg","","04/25/2024","","04/25/2024","Engineering Definition","kverma8000","Company Name","Common Space","False","False","","","","","","NAUO451","","05/02/2024","06/14/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"3","WiFi Mount and Antenna A (WiFi Mount and Antenna.1)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","WiFi Mount and Antenna","mass-R1132101478896-00000353","A","","","No","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","WiFi Mount and Antenna.1","","05/02/2024","05/02/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Wifi Antenna A (Manufacturing Assembly00000354.2)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","Wifi Antenna","mass-R1132101478896-00000609","A","","","No","0s","0","","","","False","","0kg","","06/14/2024","","06/14/2024","Engineering Definition","kverma8000","Company Name","Common Space","False","False","","","","","","Manufacturing Assembly00000354.2","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"5","WiFi_Antenna_Assy <2> A (NAUO1683)","Provided Part","1","","","","","In Work","","","","","","112128144","WiFi_Antenna_Assy <2>","prvd-R1132101478896-00001851","A","","","","0s","0","","","","False","","0kg","","06/14/2024","","06/14/2024","Engineering Definition","kverma8000","Company Name","Common Space","False","False","","","","","","NAUO1683","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"5","WiFi_Antenna_Assy <1> A (NAUO523)","Provided Part","1","","","","","In Work","","","","","","112128144","WiFi_Antenna_Assy <1>","prvd-R1132101478896-00001852","A","","","","0s","0","","","","False","","0kg","","06/14/2024","","06/14/2024","Engineering Definition","kverma8000","Company Name","Common Space","False","False","","","","","","NAUO523","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","WiFi Antenna Mount A (NAUO458)","Provided Part","1","","","","","In Work","","","","","","112128144","WiFi Antenna Mount","prvd-R1132101478896-00001738","A","","","","0s","0","","","","False","","0kg","","04/25/2024","","04/25/2024","Engineering Definition","kverma8000","Company Name","Common Space","False","False","","","","","","NAUO458","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"3","Assy HW-140 <1> A (NAUO733)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","Assy HW-140 <1>","mass-R1132101478896-00000618","A","","","No","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO733","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Main Board A (NAUO628)","Provided Part","1","","","","","In Work","","","","","","112128144","Main Board","prvd-R1132101478896-00001787","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO628","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
